title,data,autor,conteudo,tags,Link
 Vinicius Júnior tem 3ª melhor nota da final da Champions; veja avaliações , 01/06/2024 às 20:36 ,Da CNN,"Autor do segundo gol da vitória sobre o Borussia Dortmund neste sábado (1º), em Wembley, que deu ao Real Madrid o 15º título de Champions League da sua história, o atacante Vinicius Júnior teve uma das melhores notas da partida segundo avaliação do Sofascore.
O brasileiro, com 7.8, ficou empatado com Camavinga e só não teve maior nota que dois companheiros de equipe: Toni Kroos, com 8.2, e Dani Carvajal, autor do primeiro gol, com 8.5.
 Leia mais 
Do lado do Borussia Dortmund, que amargou o seu segundo vice-campeonato na Champions, os melhores foram Karim Adeyemi e Julian Brandt, ambos com 7.2.
Com o gol marcado neste sábado, Vinicius Júnior se tornou o primeiro brasileiro a anotar em duas finais de Champions League. O camisa 7 também tinha feito um na decisão da temporada 2021/2022, no triunfo de 1 a 0 sobre o Liverpool de Jürgen Klopp."," Champions League , CNN Esportes , Futebol internacional , Real Madrid ",https://www.cnnbrasil.com.br/esportes/futebol/futebol-internacional/champions-league/vinicius-junior-tem-3a-melhor-nota-da-final-da-champions-veja-avaliacoes/
" Após ataques, atriz de “Renascer” recebe apoio e revela valor de cirurgia ", 01/06/2024 às 20:20 | Atualizado 01/06/2024 às 20:28 ,Pedro N. Jordãoda CNN,"Após sofrer ataques transfóbicos nas redes sociais, a atriz Gabriela Loran, 30, que interpreta a personagem Maitê na novela “Renascer”, recebeu apoio de famosos e revelou, neste sábado (1º), o valor da cirurgia de redesignação sexual pela qual passou há quatro meses.
Entre os artistas que ofereceram apoio a ela estão Liniker, Pabllo Vittar e Preta Gil. Eles declararam amá-la e criticaram as mensagens discriminatórias.
A atriz, que vem compartilhando nas redes sociais como foi o processo cirúrgico dela, disse que o custo total desembolsado para fazer o procedimento fora do Brasil foi de US$ 36 mil (aproximadamente R$ 189 mil).
 
“Lá na Tailândia, eu paguei US$ 19 mil. US$ 19 mil [cerca de R$ 99,6 mil] só a cirurgia? Não, gente! Estadia, 23 dias de hotel. O hospital estava incluso, as consultas com o Kamol [Cosmetic Hospital] estavam inclusas, consulta com psicólogos, exames, todos os exames sanguíneos. As enfermeiras estão incluídas, transporte. É um grande combo”, disse.
Além disso, a atriz também explicou que gastou mais US$ 17 mil (cerca de R$ 89 mil) em passagens de avião dela e do namorado.
No mesmo vídeo publicado para falar dos valores, a atriz também agradeceu pelo apoio recebido após os ataques transfóbicos virtuais.
Apesar do preconceito de algumas pessoas, Gabriela Loran ganhou quase 12 mil seguidores no Instagram nas últimas horas.
Uma publicação compartilhada por GABRIELA LORAN (@gabrielaloran)
"," #CNNPop , Renascer ",https://www.cnnbrasil.com.br/entretenimento/apos-ataques-atriz-de-renascer-recebe-apoio-e-revela-valor-de-cirurgia/
 Série B: Brusque e Novorizontino ficam no empate sem gols , 01/06/2024 às 20:13 ,Da CNN,"O confronto entre Brusque e Novorizontino, válido pela oitava rodada da Série B do Campeonato, terminou em um empate sem gols no estádio Augusto Bauer, neste sábado (1).
Com o resultado, o Brusque permanece na 17ª colocação, dentro da zona de rebaixamento, com seis pontos. A equipe chega ao nono jogo sem vitórias. O próximo compromisso da equipe catarinense é no sábado (9), contra o Amazonas, na Arena do Amazonas.
 Leia Mais 
Já o Novorizontino ocupa a nona posição, com 11 pontos. A próxima partida da equipe é contra o Santos, na próxima sexta-feira (7), no estádio Dr. Jorge Ismael de Biasi, o “Jorjão”.
A partida foi marcada por poucas oportunidades criadas, e nenhuma das equipes conseguiu aproveitar as chances. O Brusque teve duas boas oportunidades com Dentinho, que obrigou o goleiro Jordi a fazer boas defesas. Já o Novorizontino assustou no segundo tempo, com finalizações perigosas de Fabrício Daniel e Rodrigo Soares, que também foram bem defendidas pelo goleiro Matheus Nogueira.
O Brusque teve ligeira superioridade na posse de bola (64% contra 36%) e finalizações (11 contra 17), mas não conseguiu converter essa vantagem em gols. Por outro lado, o Novorizontino mostrou eficiência nas finalizações, apesar de ter menos a bola. As equipes também receberam quatro cartões amarelos cada uma."," -veja-como-foi- , brusque , Campeonato Brasileiro Série B , CNN Esportes , Futebol brasileiro , Novorizontino ",https://www.cnnbrasil.com.br/esportes/futebol/serie-b-brusque-e-novorizontino-ficam-no-empate-sem-gols/
 Mãe e dois filhos brasileiros ficam gravemente feridos após bombardeio no sul do Líbano , 01/06/2024 às 20:04 | Atualizado 01/06/2024 às 20:28 ,Teo CuryJussara Soaresda CNN,"Três brasileiros — uma mulher e seus dois filhos — ficaram gravemente feridos após ataque aéreo, neste sábado (1º), na cidade Saddikine, na área de Qana, no sul do Líbano.
As circunstâncias do bombardeio ainda não estão claras, segundo o Ministério das Relações Exteriores. Os três estavam em casa no momento do ataque.
A mulher de 30 anos está em estado grave. Sua filha, de 10 anos, sofreu ferimentos graves na perna e teve de ser submetida a uma cirurgia. O filho, de nove anos, está estável.
Os brasileiros estão sob cuidados médicos no Hospital Libanês Italiano, em Tiro, no sul do país, conforme relatos feitos por duas fontes à CNN.
 Leia Mais 
Como mostrou a CNN, o Itamaraty confirmou que três brasileiros ficaram feridos no ataque, mas ainda não há mais detalhes oficialmente.
A embaixada do Brasil em Beirute recomendou neste sábado que os cidadãos brasileiros que vivem no Líbano evitem permanecer no sul do país — região que faz divisa com o norte de Israel — e nas áreas de fronteira. É o terceiro aviso emitido desde o início do conflito entre Israel e o Hamas.
“Caso não esteja no Líbano, não viaje ao país. Aos nacionais brasileiros que não julguem essencial a permanência no Líbano, a Embaixada recomenda que considerem a precaução de ausentar-se do país até seu retorno à normalidade”, informa.
A embaixada recomenda que os cidadãos adotem as indicações de segurança das autoridades locais, reforcem medidas de precaução – especialmente no sul do país – e não façam parte de aglomerações e protestos.
“Aos nacionais brasileiros que julguem essencial sua permanência no Líbano, evitar residir no sul do país ou deslocar-se a essa região, sobretudo às áreas de fronteira”, diz o comunicado.
O sul do Líbano, área monitorada com preocupação pela embaixada brasileira no país, é dominada pelo Hezbollah.
Células da organização militante xiita libanesa foram atacadas nos últimos meses pelas forças israelenses durante o acirramento da guerra entre Israel e o Hamas.", Líbano ,https://www.cnnbrasil.com.br/internacional/brasileiros-ficam-gravemente-feridos-apos-bombardeio-no-sul-do-libano/
 Carlo Ancelotti amplia hegemonia como maior campeão da Champions , 01/06/2024 às 19:57 ,Da CNN,"Carlo Ancelotti conseguiu mais uma vez. Neste sábado (1º), no Estádio Wembley, em Londres, o Real Madrid comandado pelo técnico italiano venceu o Borussia Dortmund por 2 a 0 na final da Champions League e conquistou o 15º título do torneio para o clube.
Das 15 conquistas merengues, Ancelotti foi o comandante do time em três delas: a primeira na temporada 2013/2014, em sua primeira passagem pelo Real, e as outras duas em 2021/2022 e agora em 2023/2024.
 Leia mais 
Somadas as duas taças que levantou pelo Milan, o italiano se isola como o técnico mais vitorioso da história da Champions, com cinco títulos.
O inglês Bob Paisley, com um tricampeonato pelo Liverpool, o francês Zinedine Zidane, também tricampeão pelo Real Madrid, e Pep Guardiola, com duas conquistas pelo Barcelona e uma pelo Manchester City, são os perseguidores mais próximos de Carlo Ancelotti.
Além dos três títulos pelo Real Madrid em cinco edições disputadas, Carlo Ancelotti registra outros números impressionantes pelo clube espanhol na Champions League.
Considerando as duas passagens, o treinador comandou o time em 63 partidas no torneio europeu, com 45 vitórias, nove empates e apenas nove derrotas segundo dados do Sofascore — aproveitamento de 76%. Nesse período, o Real marcou 146 gols e sofreu 61.
Maior campeão da competição, Ancelotti comandou ao todo 204 jogos na história da Champions. Seu desempenho é de 116 triunfos, 47 empates e 41 derrotas — aproveitamento de 65%.
Em seis finais disputadas, o italiano perdeu somente uma decisão. Foi na temporada 2004/2005, em Istambul, quando seu Milan chegou a abrir 3 a 0 no primeiro tempo contra o Liverpool, mas levou o empate na etapa final e acabou derrotado na disputa por pênaltis.
Acompanhe a CNN Esportes em todas as plataformas"," Carlo Ancelotti , Champions League , CNN Esportes , Futebol internacional ",https://www.cnnbrasil.com.br/esportes/futebol/futebol-internacional/champions-league/carlo-ancelotti-amplia-hegemonia-como-maior-campeao-da-champions/
 Dupla do Borussia Dortmund amarga segundo vice da Champions em Wembley , 01/06/2024 às 19:44 ,Lucas Sanchesda Itatiaia,"Dois jogadores do Borussia Dortmund amargaram o segundo vice-campeonato da Champions League no estádio Wembley. Neste sábado (1º), o time alemão perdeu por 2 a 0 para o Real Madrid, em Londres, e segue com apenas um título na competição, conquistado em 1996/97.
 Leia mais 
Essa foi a terceira decisão de Champions League do Dortmund, sendo a segundo seguida no estádio Wembley. Na temporada 2012/13, os Auri-negros foram derrotados pelo Bayern de Munique por 2 a 1 e com dois jogadores nas duas partidas: o zagueiro Hummels e o meia-atacante Reus.
Doze anos atrás, ambos foram titulares e estiveram em campo durante os 90 minutos. Neste ano, Hummels também jogou a partida inteira, enquanto Reus veio do banco de reservas. A experiência da dupla, entretanto, não foi suficiente para o bicampeonato europeu do Dortmund.
Vale lembrar, inclusive, que a derrota nesta final da Champions foi o último jogo de Marco Reus pelo Borussia Dortmund. Aos 35 anos, o alemão deixa o clube após 12 temporadas e quatro títulos. O próximo passo da carreira do jogador ainda não foi revelado.
Este conteúdo foi criado originalmente em Itatiaia.
versão original"," Borussia Dortmund , Champions League , CNN Esportes , Futebol internacional ",https://www.cnnbrasil.com.br/esportes/futebol/futebol-internacional/champions-league/dupla-do-borussia-dortmund-amarga-segundo-vice-da-champions-em-wembley/
" Com gols de Marta, Seleção Feminina goleia a Jamaica em amistoso no Recife ", 01/06/2024 às 19:29 ,Filipe Sodréda Itatiaia,"Sob os olhares de mais de 30 mil torcedores, a Seleção Brasileira Feminina goleou a Jamaica por 4 a 0, na tarde deste domingo (2), na Arena Pernambuco, em São Lourenço da Mata, Região Metropolitana do Recife.
 Leia Mais 
Os gols do jogos foram marcados pela atacante Adriana e a meio-campista jamaicana Chantelle Swaby (contra) no primeiro tempo. Na segunda etapa, coube à Marta marcar dois belos gols para fechar o placar e sacramentar a vitória verde-amarela.
Em suma, o que se viu durante o jogo foi a Seleção Brasileira completamente dominante e dona das ações ofensivas. Tanto que Lorena, goleira do Grêmio, não teve o trabalho de fazer uma grande defesa. Vale ressaltar que, além da goleada, a volante Yayá, do Brasil, também teve um gol anulado por impedimento.
A Seleção Brasileira Feminina volta a campo na próxima terça-feira (4), contra a mesma adversária, às 20h (horário de Brasília), na Arena Fonte Nova, em Salvador. Os dois amistosos serão os últimos testes da equipe comandada por Arthur Elias antes dos Jogos Olímpicos de Paris 2024, que começam no próximo mês.
Este conteúdo foi criado originalmente em Itatiaia.
versão original"," CNN Esportes , Futebol brasileiro , Seleção Brasileira Feminina de Futebol ",https://www.cnnbrasil.com.br/esportes/futebol/com-gols-de-marta-selecao-feminina-goleia-a-jamaica-em-amistoso-no-recife/
 Quem são os brasileiros com mais títulos de Champions League , 01/06/2024 às 19:21 ,Da CNN,"O título da Champions League 2023/24, conquistado neste sábado (1) pelo Real Madrid em Londres, coroou o trio de brasileiros da equipe merengue com mais um caneco na história da competição.
 Leia mais 
Com a taça vencida sobre o Borussia Dortmund em Wembley, Vini Jr, Rodrygo e Éder Militão se tornam bicampeões do torneio europeu. O trio esteve também na conquista do Real Madrid de 2021/22.
O ranking de títulos da Champions League conquistados por brasileiros conta com dois ex-Real Madrid no topo: o volante Casemiro e o lateral Marcelo."," Champions League , CNN Esportes , Futebol internacional , Real Madrid , Rodrygo , Vini Jr. ",https://www.cnnbrasil.com.br/esportes/futebol/futebol-internacional/champions-league/brasileiros-mais-titulos-champions-league/
 Entenda decisão de Moraes de se declarar impedido em caso de ameaças à sua família , 01/06/2024 às 18:56 | Atualizado 01/06/2024 às 19:07 ,Da CNN,"O ministro Alexandre de Moraes, do Supremo Tribunal Federal (STF), separou a investigação sobre dois suspeitos de ameaçarem sua família.
Em decisão publicada neste sábado (1º), o magistrado indicou seu impedimento de continuar como relator do caso quanto à apuração dos crimes de ameaça e perseguição.
Em relação ao suposto crime de tentativa de abolição violenta do Estado democrático de Direito, o caso segue com Moraes.
O fuzileiro naval Raul Fonseca de Oliveira e Oliverino de Oliveira Junior foram presos pela Polícia Federal na sexta-feira (31), por ordem do ministro, que atendeu a um pedido feito pela Procuradoria-Geral da República (PGR). Depois da audiência de custódia, Moraes manteve a prisão preventiva da dupla.
 Leia Mais 
Para declarar seu impedimento em parte do caso, Moraes se baseou em um artigo do Código de Processo Penal.
A norma estabelece que o juiz não pode atuar no processo em que “ele próprio ou seu cônjuge ou parente, consangüíneo ou afim em linha reta ou colateral até o terceiro grau, inclusive, for parte ou diretamente interessado no feito”.
Conforme o regimento interno do STF, nessa situação a Secretaria Judiciária fará um novo sorteio para designar o ministro relator.
A PGR afirma em sua manifestação que “graves ameaças a familiares do Ministro Alexandre de Moraes”, por meio de mensagens com “referências a ‘comunismo’ e ‘antipatriotismo'”, feitas pelos suspeitos, teriam o objetivo de “restringir o livre exercício da função judiciária” por Moraes, “à frente das investigações relativas aos atos que culminaram na tentativa de abolição do Estado Democrático de Direito em 8.1.2023”.
O documento é assinado pelo procurador-geral da República, Paulo Gonet.
Assim, Moraes disse em sua decisão se tratar de “duas espécies de infrações penais” – uma com relação às ameaças aos familiares (da qual se declarou impedido) e outra sobre a tentativa de abolir o Estado de direito (que continuará com a relatoria do ministro).
Esta última, segue com Moraes no STF por relação com outras investigações da Corte, conforme disse o magistrado na decisão.
Para configurar a chamada “conexão probatória” que justifica a permanência do caso com ele, Moraes lista o inquérito das fake news e os que apuraram os atos de 8 de janeiro.
Para o ministro, há um modo de atuar semelhante entre os suspeitos do caso de agora e as milícias digitais com intuito de “coagir” o magistrado.
“As condutas narradas pelo Ministério Público, indicam que os agentes tentaram, com grave ameaça, restringir o exercício de funções jurisdicionais, atentando, dessa maneira, contra o Estado Democrático de Direito, como bem salientado pela Procuradoria-Geral da República”, afirmou.
Moraes determinou ainda que a Polícia Federal apresente, em 15 dias, um relatório com o conteúdo dos aparelhos apreendidos com os dois suspeitos na operação deflagrada nesta sexta-feira. Ao todo, foram cumpridos cinco mandados de busca e apreensão em São Paulo e no Rio de Janeiro."," Alexandre de Moraes , STF (Supremo Tribunal Federal) ",https://www.cnnbrasil.com.br/politica/entenda-decisao-de-moraes-de-se-declarar-impedido-em-caso-de-ameacas-a-sua-familia/
" De volta ao Atlético-MG, Bernard é recebido por multidão em Confins e se emociona ", 01/06/2024 às 18:54 | Atualizado 01/06/2024 às 18:55 ,Cláudio Rezendeda Itatiaia,"Bernard cumpriu a promessa feita na coletiva de despedida concedida em 2013 e está de volta ao Atlético-MG. A chegada do jogador no retorno a Belo Horizonte contou com recepção calorosa da torcida alvinegra, que foi em peso ao Aeroporto de Confins para celebrar a contratação do ídolo.
 Leia Mais 
A chegada do meia-atacante de 31 anos foi celebrada por milhares de atleticanos, que deram as boas-vindas ao “Bambino de Ouro”. Foi montada uma estrutura especial para comportar os torcedores no lado externo do terminal de desembarque.
Bernard falou rapidamente com a imprensa e depois foi ao encontro dos torcedores que marcaram presença em Confins. O atleta revelado nas categorias de base do alvinegro se emocionou com a recepção.
“Tenho palavra. Estou bastante feliz, grato. A torcida compareceu. Estou bastante feliz”, disse.
A festa feita por milhares de pessoas no aeroporto mostra que o meio-campista retorna a Belo Horizonte com o status de ídolo do Atlético-MG. Os torcedores carregaram o campeão da Copa Libertadores de 2013 e cantaram músicas para o atleta.
Bernard será mais uma opção ofensiva para o técnico Gabriel Milito. Ele era uma das referências técnicas do Panathinaikos nos últimos meses e foi destaque na conquista da Copa da Grécia.
O contrato do jogador com o Atlético-MG é válido até o fim de 2027. Ele poderá fazer a reestreia pelo Galo apenas a partir do dia 10 de julho, quando se abre a janela de transferências internacionais.
Logo na primeira temporada no futebol ucraniano, Bernard foi convocado pelo técnico Luiz Felipe Scolari para defender a Seleção Brasileira na Copa do Mundo, sediada no Brasil. Assim como Hulk, maior ídolo do elenco atual do Atlético-MG, ele fez parte do grupo que caiu na semifinal para a Alemanha, no inesquecível 7 a 1 no Mineirão.
Pelo Donetsk, ele fez 157 partidas e marcou 28 gols. Por lá, foram três títulos conquistados, até ser vendido ao Everton, da Inglaterra, em 2018.
Pelo clube inglês, o meia-atacante fez 84 jogos e marcou 8 tentos. Apesar de não ter levantado canecos, Bernard chegou disputou a fortíssima Premier League e foi comandado por Carlo Ancelotti, atual técnico do Real Madrid, considerado um dos maiores da história.
Em 2021, o jogador foi anunciado pelo Sharjah, dos Emirados Árabes, onde permaneceu até o fim da temporada. Após 36 partidas e oito gols, ele se transferiu para o Panathinaikos, da Grécia.
De volta à Europa, ele viveu grande momento e, no último fim de semana, se despediu do clube com a conquista da Copa Grega. Em 84 duelos, o novo reforço do Galo balançou a rede 13 vezes.
Em 2 de fevereiro, Atlético-MG e Bernard acertaram os termos para o retorno do jogador a Belo Horizonte, com novo vínculo até 2027. Ele será o único do atual elenco a ter participado da campanha vitoriosa na Copa Libertadores de 2013.
Pelo clube que foi revelado, Bernard fez 100 jogos, marcou 12 gols e conquistou três títulos: Copa Libertadores (2013) e Campeonato Mineiro (2012 e 2013). Profissionalmente, o meia-atacante atuou pelo Galo entre 2011 e 2013, após breve empréstimo ao Democrata, de Sete Lagoas, em 2010.
O meia-atacante deixou o Alvinegro em agosto de 2013, ao ser negociado para o Shakhtar. Enquanto defendia o Atlético-MG, Bernard atuou pela Seleção Brasileira, em 2012 e 2013, quando venceu a Copa das Confederações.
Este conteúdo foi criado originalmente em Itatiaia.
versão original"," Atlético-MG , Bernard , CNN Esportes , Futebol brasileiro ",https://www.cnnbrasil.com.br/esportes/futebol/atletico-mineiro/de-volta-ao-atletico-bernard-e-recebido-por-multidao-em-confins-e-se-emociona/
